record_id,customer_id,timestamp,date,time,hour,day_of_week,month,season,is_weekend,is_holiday,customer_type,income_level,age_group,family_size,region,climate_zone,urban_setting,energy_source,meter_type,grid_reliability,building_type,building_size_sqft,construction_year,energy_certification,energy_usage_kwh,peak_hours_usage,off_peak_hours_usage,usage_per_person,usage_per_sqft,lifestyle_type,work_pattern,activity_pattern,efficiency_score,usage_pattern,anomaly_score,appliance_count,appliances,carbon_footprint_kg,cost_estimate_usd,savings_potential_percent,usage_description,efficiency_insights,recommendations
1,CUST0001,2024-11-23T03:01:00,2024-11-23,03:01:00,3,Saturday,11,Fall,1,0,Large_Business,Medium,26-35,3,Northeast,Polar,Urban,Battery_Backup,Digital_Meter,Excellent,Single_Family,2019,1955,LEED_Gold,24.23,19.18,6.48,8.08,0.012,Minimalist,Unemployed,Night_Owl,94.0,High_Usage,0.5,18,"Dryer,Computer,Air_Conditioner,Oven,Refrigerator,TV,Dishwasher,Water_Heater,Washing_Machine,Microwave,Heater,Gaming_Console",22.29,2.54,6.9,Energy consumption of 24.2 kWh for single_family with 3 occupants.,Excellent efficiency rating of 93.96288169704445 with LEED_Gold certification. Building constructed in 1955 with 12 appliances.,Optimize HVAC system settings; Consider solar panel installation
2,CUST0002,2024-11-05T08:51:00,2024-11-05,08:51:00,8,Tuesday,11,Fall,0,0,Residential,Very_High,56-65,2,Southwest,Tropical,Rural,Wind,Analog_Meter,Fair,Office,2423,1965,LEED_Platinum,19.38,12.26,5.35,9.69,0.008,High_Consumption,Remote,Night_Owl,90.6,High_Usage,0.5,17,"Oven,Computer,Microwave,Washing_Machine,Air_Conditioner,Gaming_Console,Dishwasher,TV,Refrigerator,Water_Heater,Dryer,Heater",17.83,2.9,17.8,High_Consumption lifestyle with 9.7 kWh per person during morning.,Excellent efficiency rating of 90.57912200926563 with LEED_Platinum certification. Building constructed in 1965 with 12 appliances.,Implement energy conservation practices
3,CUST0003,2024-12-16T10:53:00,2024-12-16,10:53:00,10,Monday,12,Winter,0,0,Residential,Medium,18-25,6,Southwest,Temperate,Urban,Solar,Analog_Meter,Fair,Apartment,1702,2000,Energy_Star,52.52,33.12,12.18,8.75,0.0309,Eco_Conscious,Hybrid,Regular,100,High_Usage,0.357,13,"Water_Heater,Air_Conditioner,TV,Heater,Microwave,Dishwasher,Gaming_Console,Oven,Dryer,Refrigerator,Washing_Machine,Computer",48.32,7.04,16.9,Usage pattern indicates eco_conscious behavior with 8.8 kWh per person.,Excellent efficiency rating of 100 with Energy_Star certification. Building constructed in 2000 with 12 appliances.,Optimize HVAC system settings
4,CUST0004,2024-07-14T19:29:00,2024-07-14,19:29:00,19,Sunday,7,Summer,1,0,Large_Business,Low,65+,2,West_Coast,Temperate,Rural,Wind,Smart_Meter,Fair,Condo,1301,1960,Energy_Star,55.56,43.93,21.36,27.78,0.0427,High_Consumption,Unemployed,Night_Owl,91.0,Extreme_High,1.0,8,"Heater,Oven,Gaming_Console,Dryer,Washing_Machine,Computer,Dishwasher,Water_Heater",51.11,8.11,17.0,Usage pattern indicates high_consumption behavior with 27.8 kWh per person.,Excellent efficiency rating of 90.99000000000001 with Energy_Star certification. Building constructed in 1960 with 8 appliances.,Implement energy conservation practices
5,CUST0005,2024-01-10T03:59:00,2024-01-10,03:59:00,3,Wednesday,1,Winter,0,0,Large_Business,High,26-35,1,Southeast,Polar,Urban,Grid,Analog_Meter,Poor,Single_Family,1892,2010,None,37.13,24.12,7.9,37.13,0.0196,Eco_Conscious,Unemployed,Night_Owl,56.0,Extreme_High,1.0,18,"Dryer,Gaming_Console,Water_Heater,Oven,TV,Microwave,Computer,Washing_Machine,Air_Conditioner,Heater,Dishwasher,Refrigerator",34.16,3.75,16.1,Eco_Conscious lifestyle with 37.1 kWh per person during night.,"Below average efficiency of 56.0, consider upgrades. Building constructed in 2010 with 12 appliances.",Consider energy efficiency upgrades; Optimize HVAC system settings; Consider solar panel installation
6,CUST0006,2024-01-04T02:45:00,2024-01-04,02:45:00,2,Thursday,1,Winter,0,0,Residential,Medium,18-25,1,Midwest,Tropical,Rural,Solar,Digital_Meter,Poor,Apartment,1120,1990,LEED_Gold,9.53,5.83,3.29,9.53,0.0085,Tech_Heavy,Unemployed,Irregular,94.1,High_Usage,0.064,20,"TV,Dryer,Dishwasher,Air_Conditioner,Water_Heater,Washing_Machine,Heater,Microwave,Oven,Computer,Refrigerator,Gaming_Console",8.77,1.33,7.2,Tech_Heavy lifestyle with 9.5 kWh per person during night.,Excellent efficiency rating of 94.06760971638413 with LEED_Gold certification. Building constructed in 1990 with 12 appliances.,Maintain current efficient practices
7,CUST0007,2024-04-07T17:28:00,2024-04-07,17:28:00,17,Sunday,4,Spring,1,0,Small_Business,Very_High,26-35,5,Southwest,Subtropical,Urban,Hybrid,Analog_Meter,Excellent,Single_Family,2307,2000,None,149.2,94.14,38.69,29.84,0.0647,Average,Hybrid,Irregular,80.8,Extreme_High,0.617,11,"TV,Refrigerator,Washing_Machine,Water_Heater,Heater,Dryer,Air_Conditioner,Gaming_Console,Microwave,Dishwasher,Oven",137.27,22.15,16.6,A 5-person household in a single_family showing 149.2 kWh usage.,Excellent efficiency rating of 80.772 with None certification. Building constructed in 2000 with 11 appliances.,Optimize HVAC system settings; Consider solar panel installation
8,CUST0008,2024-06-09T01:03:00,2024-06-09,01:03:00,1,Sunday,6,Summer,1,0,Industrial,Medium,18-25,2,Southeast,Tropical,Rural,Grid,Analog_Meter,Good,Condo,1426,1955,None,43.85,30.33,17.53,21.93,0.0308,Minimalist,Unemployed,Early_Bird,66.2,Extreme_High,0.922,15,"Oven,Dryer,Microwave,Heater,Water_Heater,Gaming_Console,Dishwasher,Washing_Machine,TV,Air_Conditioner,Refrigerator,Computer",40.35,6.57,6.5,Minimalist lifestyle with 21.9 kWh per person during night.,Good efficiency at 66.24 with room for improvement. Building constructed in 1955 with 12 appliances.,Optimize HVAC system settings
9,CUST0009,2024-09-16T08:08:00,2024-09-16,08:08:00,8,Monday,9,Fall,0,0,Large_Business,Low,26-35,6,Midwest,Subtropical,Suburban,Battery_Backup,Analog_Meter,Fair,Office,3604,2010,None,390.15,290.09,93.92,65.03,0.1083,Tech_Heavy,Office,Early_Bird,77.0,Extreme_High,1.0,9,"Oven,Dishwasher,Heater,Gaming_Console,Washing_Machine,Computer,TV,Water_Heater,Air_Conditioner",358.94,51.39,10.3,Usage pattern indicates tech_heavy behavior with 65.0 kWh per person.,Good efficiency at 76.98666666666666 with room for improvement. Building constructed in 2010 with 9 appliances.,Optimize HVAC system settings
10,CUST0010,2024-05-08T01:05:00,2024-05-08,01:05:00,1,Wednesday,5,Spring,0,0,Industrial,High,18-25,1,Midwest,Subtropical,Rural,Wind,Smart_Meter,Poor,Office,2387,2005,Energy_Star,15.82,11.65,5.27,15.82,0.0066,Minimalist,Hybrid,Early_Bird,82.7,Extreme_High,0.172,9,"TV,Washing_Machine,Refrigerator,Oven,Microwave,Water_Heater,Air_Conditioner,Heater,Dishwasher",14.55,1.86,16.2,Usage pattern indicates minimalist behavior with 15.8 kWh per person.,Excellent efficiency rating of 82.67957987964417 with Energy_Star certification. Building constructed in 2005 with 9 appliances.,Maintain current efficient practices
